Airy, 6377563.4, 6356256.9
Australian National, 6378160.0, 6356774.7
Bessel 1841, 6377397.2, 6356079.0
Clarke 1858, 6378293.0, 6356619.0
Clarke 1866, 6378206.4, 6356583.8
Clarke 1880, 6378249.1, 6356514.9
Clarke IGN, 6378249.2, 6356515.0
Danish, 6377104.0, 6355762.0
Delambre, 6376428.0, 6355598.0
Everest, 6377276.3, 6356075.4
Fischer 1960, 6378155.0, 6356773.0
Fischer 1968, 6378150.0, 6356768.0
GRS 67, 6378160.0, 6356774.5
GRS 80, 6378137.0, 6356752.3
Helmert 1906, 6378200.0, 6356818.2
Hough, 6378270.0, 6356794.0
IAU, 6378160.0, 6356755.0
International, 6378388.0, 6356911.9
IUGG, 6378160.0, 6356774.7
Krassovsky, 6378245.0, 6356863.0
Mercury, 6378166.0, 6356784.3
Modified Airy, 6377340.2, 6356034.4
Modified Everest, 6377304.1, 6356103.0
Modified Fischer 1960, 6378155.0, 6356773.3
New International, 6378157.5, 6356772.2
Plessis, 6376523.0, 6355863.0
South American 1969, 6378160.0, 6356774.7
Southeast Asia, 6378155.0, 6356773.0
Struve, 6378298.0, 6356657.0
Walbeck, 6376896.0, 6355834.9
WGS 60, 6378165.0, 6356783.3
WGS 66, 6378145.0, 6356759.8
WGS 72, 6378135.0, 6356750.5
WGS 84, 6378137.0, 6356752.3
"165", 6378165.0, 6356783.0
Moon_2000_IAU_IAG,1737646.0,1735843.0
